text,label
"Le pouvoir d’achat des français passe par une interdiction de cumul fonctionnaire - élu. Ceux qui vivent de l’impôt ne ferons jamais d’économies. Le pouvoir, les décisions économiques, doivent revenir à ceux qui génèrent les richesses et l’impôt. Un fonctionnaire doit démissionner pour être candidat et en tout cas au moment de son élection. Nos élus font en permanence juge et partie.",1
"45% pour le pouvoir d’achat. 9% pour la fiscalité. J’imagine que le pouvoir d’achat, c’est comme l’argent, ça pousse sur les arbres.",1
"Pour augmenter le pouvoir d’achat il faut réduire les charges sur les salaires qui sont actuellement les plus élevées au monde !
ceci aurait aussi pour conséquence d’augmenter l’embauche et réduire le chômage. Avec comme double effet une assiette de salaires plus large, générant des cotisations qui mathématiquement compenseraient la baisse des taux des cotisations sociales ! A quand le grand pas ?",1
la France et les français vivent au-dessus de leurs moyens depuis trop longtemps et la covid a enfoncé toutes les dernières barrières. ,1
"Pour améliorer le pouvoir d'achat des français, la première des choses à faire est de ne pas avoir à la tête du pays.",1
Il faut lire une politique de transfert des revenus privés vers les revenus publics... Et c'est du pénal.,1
A ce prix personne n'achète comme ça ne ce garde pas surement au bout de quelques jours poubelle,1
Baisse utopique elle est passée de 1.45€ à 2.04€ le litre !!! Nous allons courir faire le plein avant que les taxes n'augmentent à nouveau.,1
Il a baissé mais ils est pas au prix qu il était y a 2 mois ils nous endorme en le mettant a 1 centimes de moins que 2 euros,1
"La seule augmentation du point a eu lieu en 2016 pour + 1. 2 %, ce qui représente 15 € de plus par mois (!) pour un salaire de 2 000 € et de 8 € pour les rémunérations proches du Smic.",1
Il faut ajouter à cela l'avancement d'échelons automatique qui fait que les salaires augmentent régulièrement et que le déficit de l'état s'accroît. Il faut donc tailler dans les effectifs.,1
"- retraite de base en 2006 nette pour 40 années de cotisation au plafond : 1069€/mois
- retraite de base actuelle nette (avant prélèvement à la source) : 1178€/mois.

Soit une augmentation de 0, 7%/an pendant 13 ans.",1
"Personne ne peut être enchanté en gagnant moins. Quand la bisounourserie se frotte à la réalité de l'argent qui demande travail, efforts, pugnacité, libération des forces vives créatrices de richesse et non nivellement par le bas, matraquage fiscal, stigmatisation de ceux qui réussissent et assistanat à tout crin d'une administration pléthorique et autres intermittents très sympatiques mais à charge de la société.",1
"Le pouvoir d'achat a baissé pour la première fois depuis près de 30 ans, écrit l'auteur de l'article.",1
"Quand le prix de l'essence augmente, l'Etat touche davantage de taxes",1
Les taxes comptent pour 55-60 % des prix du carburant à la pompe.,1
"De son côté, elle propose une ""baisse permanente de la TVA de 20 à 5,5 %"".",1
"il s'agit de mettre à contribution les grands groupes pétroliers, en plus d'un ""blocage des prix"" des produits de première nécessité.",1
"Vous croyez qu'avec les taux de taxes d'habitation, foncière, des impôts sur le revenu, les français ont les moyens d'acheter à des prix devenus ""hors sol"" ?",1
Et dire que le prix du métre carré construit est de plus en plus cher avec les nouvelles régles de construction ! ,1
pouvoir d’achat est en train de devenir un sujet majeur des candidats.,1
" Il faut dire que l’inflation se réveille, portée par les prix de l’énergie et des produits frais, ",1
"AVEC UN POUVOIR D'ACHAT DE 20.662 EUROS PAR HABITANT, LA FRANCE SE CLASSE AU 15E RANG EUROPÉEN",1
"Prompte à promettre des augmentations de salaire, la gauche est concurrencée sur ce créneau par des voix de droite. Avec l’argument qu’occuper un emploi doit toujours payer davantage que d’être au chômage. « Il faut que les salaires paient plus que l’assistance et l’économie souterraine »",1
"Effectivement, on nous a augmenté la CSG de 25% et on nous ""traite de riche avec un revenu de 1200 € par mois ! Je paye toujours la taxe d'habitation. A part cela... Vivement mai prochain (cérémonie de notre bon souvenir).",1
"Plus vous augmentez les salaires, bas ou pas, plus cela se répercute tôt ou tard sur les prix des biens et services vendus et donc plus vous devez reaugmenter les salaires pour palier les nouvelles pertes de pouvoir d'achat successives des salariés.",1
" voir exploser la courbe des prix (inflation) sans aucune revalorisation. La bonne question, c'est que malheureusement, quelque soit les remontées des salaires, les salariés sont de plus en plus déclassés pour l'achat de leur maison tant l'explosion des prix immobiliers mais aussi des impôts locaux les exlut définitivement de toute espérance dans ce registre.",1
"merci la social démocratie rouge verte qui par leurs décrets, leurs lois, leurs impôts, taxes punitives génèrent des milliards de surcoûts sur les biens, les services et alimentent la spirale revalorisation des salaires - augmentation des prix.",1
Et le pouvoir d'achat des retraités. Qui ne vous oublient pas. ,1
La campagne présidentielle est idéale pour faire des promesses gratuites d'augmentation de salaire qui ne seront jamais honorées. Il s'agit juste de racoler tous les neuneus naifs.,1
"Augmentation du prix de l'électricité de plus de 12 % en 1 an.
Augmentation du prix du gaz de plus de 20 % en 1 an.
Augmentation des loyers de plus de 5 % en 1 an.",1
"Avec 50 % des salariés français qui gagnent le smic ou moins, de quoi se plaignent les français. Même pas 1500 € / mois, et ça voudrait encore plus.",1
"ue nous aimions ou non, partie de notre pouvoir d'achat est financé par les emprunts de l'état. Il alimentait la croissance de nos voisins puisque notre balance commerciale négative prouve à l'envie que nous n'avons plus la capacité de produire ce que nous consommons",1
Mon pouvoir d'achat a pris un coup. J'ai du m'acheter une ceinture rien que pour pouvoir me la serrer.,1
"L’inflation sera alimentée par les prix de l’énergie et de l’alimentation, dont le rythme de hausse devrait nettement augmenter dans les mois qui viennent.",1
"l'inflation va rester élevée tout au long de l'année 2022 à cause notamment des conséquences de la guerre en Ukraine, atteignant selon deux scénarios distincts 3,7 % ou 4,4 %",1
"augmentation des prix de l'énergie et des matières premières, réduction de la consommation et de l'investissement, ainsi qu'une diminution de la demande adressée à la France qui affectera le commerce extérieur, indique encore la Banque de France.",1
La situation que nous vivons était d'ailleurs très largement imprévisible et à un niveau totalement inconnu de hausse des prix ; de plus Shenzhen se reconfine alors que sa production en conditionne beaucoup d'autres.,1
"Supprimer des taxes, c’est diminuer les moyens des aides sociales, cruciales pour le pouvoir d’achat de ceux qu’on nomme « les plus démunis »
ou alors on finance le pouvoir d’achat par l’emprunt et « après moi le déluge »
c’est l’option choisie, et là ne parlez plus des « boomers », merci",1
 Le pouvoir d'achat ne peut augmenter que si on produit plus de richesses. elle ne peut pas le comprendre car dans sa vie elle n'a produit aucune richesse mais vécu de nos impôts.,1
"Les populistes lancent la charge sur le ""pouvoir d'achat"" mais comme ils sont inaptes à produire des richesses ils n'ont rien à distribuer donc leur discours fera qu'avec eux le pouvoir d'achat va baisser ! Seuls les faibles en neurones et en économie peuvent écouter un tel discours !",1
Comment compte elle financer tous ces réductions de taxes et promesses électorales ?,1
"Il est bien le fossoyeur de la prospérité des français.
Il est le chef d’orchestre de la baisse du pouvoir d’achat des français qui oscillera sur les 12 prochains mois entre 2000 et 3000 €.",1
"il rend 90 % des français plus pauvres, et seuls ses amis les riches ne souffrent pas d’une baisse de leur pouvoir d’achat.",1
"elle propose depuis l'automne une baisse de la TVA sur le gaz, l'électricité et les carburants. Face à la nouvelle flambée des prix, elle a demandé une annulation des hausses de la taxe TICPE décidées entre 2015 et 2018, qu'elle entend compenser en ""taxant"" les pétroliers",1
"Face à la hausse des prix de l'énergie, elle a appelé à ""un vrai effort du gouvernement"".",1
il faut qu'une partie des taxes supplémentaires collectées par la hausse du prix de l'essence puissent être rendues aux Français,1
les necessitées basiques sont devenus plus chère,1
"Et les réformes structurelles, vivons donc à crédit avec de l'argent magique.",1
aucun plan pur augmenter le pouvoir d'achat,1
l’immigration coûte plus à la France qu’elle ne lui rapporte tandis que 7 sur 10 estiment que le pays n’a plus les moyens d’accueillir des immigrés.,2
"le lien prétendu entre l’insécurité et l’immigration, agité par le parti depuis les années 1980, fait l’objet d’une adhésion majoritaire.",2
les enjeux prioritaires concernent la lutte contre l’immigration clandestine (53%) et le coût de l’immigration (52%),2
l’immigration a un impact négatif d’une manière générale,2
un scepticisme grandissant des Français vis-à-vis de l’immigration et leur volonté de modifier les règles qui l’encadrent,2
Trop d'étrangers en France,2
l'immense majorité des immigrés qui se sont installés en France ces trente dernières années est bien intégrée,2
"pour réduire le nombre de chômeurs, il faut réduire le nombre d'immigrés",2
la France se doit de rester fidèle à sa tradition d’accueil et de protection des personnes persécutées lui demandant asile,2
Consciente que l’immigration clandestine est un phénomène qu’il est nécessaire de maîtriser,2
La politique d’intégration doit être poursuivie et dotée des moyens nécessaires à son succès.,2
"Tout amalgame entre demandeurs d’asile et immigrés clandestins, entre immigrés et terroristes, entre étrangers en situation régulière et étrangers qui ne le sont pas, doit être proscrit afin de ne pas alimenter les préjugés racistes et xénophobes à leur encontr",2
Certains Français peuvent penser que les immigrés sont « plutôt » trop nombreux dans certains quartiers sans être opposés à leur présence,2
certains attribuent à la présence des immigrés,2
De moins en moins de Français pensent qu’il y a trop d’immigrés,2
une montée de la part de la population hostile à la présence d’immigrés au début des années 2010 suivie d’une diminution dans les années récentes,2
Les crises migratoires autour de la Méditerranée semblent davantage provoquer de la compassion que de tensions dans l’opinion.,2
les Français sont beaucoup plus tolérants vis-à-vis des personnes d’origine étrangère,2
l’immigration est une source d’enrichissement culturel,2
"Face à des difficultés sociales, les immigrés jouent le rôle de boucs émissaires",2
"le débat sur l’immigration s’éteint et l’insécurité prend le relais, comme cela a été le cas au début des années 2000.",2
"L'étranger qui souhaite venir en France doit y être autorisé, devant remplir pour cela certaines conditions.",2
"l’immigration est présentée par les élites comme devant échapper à l’emprise du politique et des Etats, au nom d’un principe non dit mais très puissant : celui de l’universalisme radical ",2
il y a quelque chose d’angoissant dans la perspective où est placée idéologiquement la question de l’immigration dans nos sociétés,2
"l’immigration constitue l’un des principaux sujets de préoccupation des Français, celle-ci étant vue négativement par une large majorité d’entre eux",2
L’immigration est aujourd’hui un sujet majeur ainsi qu’une des principales préoccupations tant des Français que des Européens,2
l’immigration et l’asile sont des sujets majeurs,2
l’immigration est un problème et ont un regard négatif sur l’islam qui soulève selon eux des problèmes spécifiques,2
51% des Français considèrent que l’immigration est un problème alors que 16% seulement la voient comme une chance,2
Notre pays compte déjà beaucoup d’étrangers et accueillir des étrangers supplémentaires n’est pas souhaitable,2
Les Français associent ainsi fréquemment l’immigration à des images négatives,2
"L’opinion négative qu’ont sur l’immigration une large partie des Français s’explique non seulement par l’impact que ceux-ci considèrent qu’elle a sur leur mode de vie, la laïcité, la sécurité ou la protection des minorités mais également de son impact sur l’économie et les finances publiques",2
il est plus facile d’intégrer des immigrés d’Europe du Sud,2
des immigrés constituerait une menace pour les français,2
nous ne pouvons pas accueillir plus de migrants car nos valeurs sont trop différentes et cela pose des problèmes de cohabitation ,2
une hausse de l’immigration aurait un impact sécuritaire et augmenterait le risque terroriste dans notre pays,2
"l’immigration aujourd’hui en France, c’est avant tout un coût économique",2
"les Français sont majoritairement favorables à une réduction de l’immigration ainsi qu’à des mesures plus strictes, qu’elles concernent les flux d’immigration régulière et irrégulière ou l’acquisition de la nationalité française",2
"une majorité voire une large majorité de Français est favorable à la diminution du nombre de titres de séjours, qu’ils concernent l’immigration économique ou le regroupement familial",2
Les Français seraient également favorables à la révision des règles en matière d’acquisition de la nationalité française.,2
"L’opinion publique sur la migration peut influencer les politiques migratoires, bien que la population n’ait pas toujours une idée précise du nombre et du type de migrants résidant dans le pays.",2
La façon dont la migration est perçue peut avoir une influence sur le degré d’intégration des migrants à leur communauté d’accueil,2
La population de mon pays a une vision des immigrés ou d’autres groupes différents d’elle plus négative que celle d’il-y-a quelques années,2
"À une époque où les leaders politiques vantent les mérites des obstacles à la mobilité humaine et où la migration est uniquement considérée comme un problème,",2
il est possible de réduire l’écart technologique entre le pays d’origine et le pays de destination grâce à la diffusion de connaissances résultant de la migration de retour,2
les politiques d’immigration restrictives empêchent les migrants de tirer tous les bénéfices possibles de leur migration,2
La plus évidente de ces externalités est probablement la perte significative de vies humaines lors du franchissement des frontières ,2
Le développement du capital humain est une autre externalité potentielle de la migration,2
il est important de garder à l’esprit que les effets positifs de la migration vont bien au-delà des envois de fonds,2
les politiques d’immigration restrictives risquent également de réduire les externalités positives pour le pays de destination.,2
la sécurité du droit et la stabilité juridique souffrent de la multiplication excessive de mesures législatives,3
Les actes terroristes menés par des fanatiques musulmans donnent du grain à moudre aux discours xénophobes.,3
"le débat sur l’immigration s’éteint et l’insécurité prend le relais, comme cela a été le cas au début des années 2000.",3
des Français considèrent qu’on est plus chez soi comme avant ,3
Les autorités publiques françaises ont fait de la sécurité une priorité sur le territoire national.,3
Le sentiment d’insécurité reste élevé en France qu’il soit basé sur des faits de délinquance réels ,3
un sondé sur deux trouvait que la situation en matière de sécurité s’était dégradée.,3
"Beaucoup évoquaient aussi la question des transports en commun dans lesquels ils ne se sentent pas protégés, en particulier la nuit",3
Les attentats terroristes de ces dernières années ont certainement contribué à renforcer ce sentiment global d’insécurité.,3
De nombreuses femmes craignent également d’être harcelées ou agressées dans la rue.,3
il souhaite des mesures choc pour mettre fin aux problèmes de sécurité dans le pays.,3
il prévoit d’abaisser la majorité pénale à 16 ans,3
"il propose ""des peines planchers de prison ferme pour toute agression"" de policier, gendarme ou pompier.",3
la sécurité est essentielle,3
"accorder davantage de moyens aux armées pour ""mieux prendre en compte"" les nouvelles menaces, notamment en matière spatiale et de cybersécurité.",3
